JWF Variation,JWF File,Status,Classification,Practical Params,Notes
acosech,AcosechFunc.java,VIABLE,VIABLE,0,
acosh,AcoshFunc.java,VIABLE,VIABLE,0,
acoth,AcothFunc.java,VIABLE,VIABLE,0,
affine3D,Affine3DFunc.java,NOT_VIABLE,3D,,
anamorphCyl,AnamorphCylFunc.java,EXISTS,,,
apocarpet,ApocarpetFunc.java,VIABLE,VIABLE,0,
apollony,ApollonyFunc.java,EXISTS,,,
arcTruchet,ArcTruchetFunc.java,NOT_VIABLE,BASE_SHAPE; init(),,
arch,ArchFunc.java,VIABLE,VIABLE,0,
arcsech2,Arcsech2Func.java,VIABLE,VIABLE,0,
arcsinh,ArcsinhFunc.java,VIABLE,VIABLE,0,
arctanh,ArctanhFunc.java,VIABLE,VIABLE,0,
asteria,AsteriaFunc.java,EXISTS,,,
atan,AtanFunc.java,EXISTS,,,
atan2_Spirals,Atan2_SpiralsFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(42),,
attractorFlow,AttractorFlowFunc.java,NOT_VIABLE,3D,,
auger,AugerFunc.java,EXISTS,,,
bCollide,BCollideFunc.java,NOT_VIABLE,init(),,
bMod,BModFunc.java,VIABLE,VIABLE,6,
bSplit,BSplitFunc.java,VIABLE,VIABLE,6,
bSwirl,BSwirlFunc.java,VIABLE,VIABLE,6,
bTransform,BTransformFunc.java,EXISTS,,,
bWRands,BWRandsFunc.java,NOT_VIABLE,init(),,
bWraps7,BWraps7Func.java,NOT_VIABLE,init(),,
barycentroid,BarycentroidFunc.java,EXISTS,,,
bent,BentFunc.java,EXISTS,,,
bent2,Bent2Func.java,EXISTS,,,
bilinear,BilinearFunc.java,VIABLE,VIABLE,0,
bipolar,BipolarFunc.java,EXISTS,,,
bipolar2,Bipolar2Func.java,EXISTS,,,
blade,BladeFunc.java,EXISTS,,,
blade3D,Blade3DFunc.java,NOT_VIABLE,3D,,
blob,BlobFunc.java,EXISTS,,,
blob3D,Blob3DFunc.java,NOT_VIABLE,3D,,
blockY,BlockYFunc.java,EXISTS,,,
blur,BlurFunc.java,NOT_VIABLE,BLUR,,
blur3D,Blur3DFunc.java,NOT_VIABLE,3D,,
blurCircle,BlurCircleFunc.java,NOT_VIABLE,BASE_SHAPE,,
blurLinear,BlurLinearFunc.java,EXISTS,,,
blurPixelize,BlurPixelizeFunc.java,EXISTS,,,
blurZoom,BlurZoomFunc.java,EXISTS,,,
boarders,BoardersFunc.java,EXISTS,,,
boarders2,Boarders2Func.java,EXISTS,,,
boundingBox3D,BoundingBox3DFunc.java,NOT_VIABLE,3D,,
box3D,Box3DFunc.java,NOT_VIABLE,3D,,
boxfold,BoxfoldFunc.java,EXISTS,,,
brownian,BrownianFunc.java,NOT_VIABLE,SIMULATION; init(),,
brushStrokeWF,BrushStrokeWFFunc.java,NOT_VIABLE,DC/Color,,
bubble,BubbleFunc.java,EXISTS,,,
bubble2,Bubble2Func.java,EXISTS,,,
bubbleT3D,BubbleT3DFunc.java,NOT_VIABLE,3D,,
bubbleWF,BubbleWFFunc.java,NOT_VIABLE,DC/Color,,
bulge,BulgeFunc.java,EXISTS,,,
busyBrad,BusyBradFunc.java,NOT_VIABLE,init(),,
butterfly,ButterflyFunc.java,EXISTS,,,
butterfly3D,Butterfly3DFunc.java,NOT_VIABLE,3D,,
butterflyFay,ButterflyFayFunc.java,EXISTS,,,
cPow,CPowFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(9),,
cPow2,CPow2Func.java,NOT_VIABLE,init(),,
cPow3,CPow3Func.java,NOT_VIABLE,init(),,
cPow3WF,CPow3WFFunc.java,NOT_VIABLE,DC/Color,,
cSin,CSinFunc.java,VIABLE,VIABLE,3,
cactusGlobe,CactusGlobeFunc.java,NOT_VIABLE,3D; BASE_SHAPE,,
camouflage,CamouflageFunc.java,EXISTS,,,
cannabisCurveWF,CannabisCurveWFFunc.java,NOT_VIABLE,DC/Color,,
cappedCone3D,CappedCone3DFunc.java,NOT_VIABLE,3D,,
cappedTorus3D,CappedTorus3DFunc.java,NOT_VIABLE,3D,,
capsule3D,Capsule3DFunc.java,NOT_VIABLE,3D,,
cardioid,CardioidFunc.java,EXISTS,,,
cell,CellFunc.java,EXISTS,,,
cell2,Cell2Func.java,EXISTS,,,
cell3D,Cell3DFunc.java,NOT_VIABLE,3D,,
chaosCubes,ChaosCubesFunc.java,EXISTS,,,
checkerboardWF,CheckerboardWFFunc.java,NOT_VIABLE,DC/Color,,
checks,ChecksFunc.java,EXISTS,,,
chrysanthemum,ChrysanthemumFunc.java,NOT_VIABLE,BASE_SHAPE,,
chunk,ChunkFunc.java,EXISTS,,,
circleBlur,CircleBlurFunc.java,NOT_VIABLE,BLUR,,
circleCrop,CircleCropFunc.java,NOT_VIABLE,init(),,
